"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Nov 01 13:32:01 CET 2022","Tue Nov 01 13:32:12 CET 2022","11224","","Logout","","Logout","#01 Player can successfully logout.","#01 Player can successfully logout.",""
"failed","Tue Nov 01 14:05:53 CET 2022","Tue Nov 01 14:06:19 CET 2022","25787","","UnsubscribePage","","UnsubscribePage","#7 User can click on ‘Continue’ button in the ‘Re-subscribe’ success window and the Home page will be displayed.","#7 User can click on ‘Continue’ button in the ‘Re-subscribe’ success window and the Home page will be displayed.",""
"passed","Tue Nov 01 14:07:53 CET 2022","Tue Nov 01 14:07:54 CET 2022","1693","","Promotions functionality testing. Promotions functionality for unauthenticated user.","","Promotions functionality testing. Promotions functionality for unauthenticated user.","#33 Short description of promotion card is displayed for not login user.","#33 Short description of promotion card is displayed for not login user.",""
"passed","Tue Nov 01 13:30:29 CET 2022","Tue Nov 01 13:30:33 CET 2022","3804","","Expired Link Error","","Expired Link Error","#4 User can click on Join button and see Register page. ","#4 User can click on Join button and see Register page. ",""
"passed","Tue Nov 01 13:30:36 CET 2022","Tue Nov 01 13:30:38 CET 2022","2457","","Expired Link Error","","Expired Link Error","#7 User can click on x button and close reset password window. ","#7 User can click on x button and close reset password window. ",""
"failed","Tue Nov 01 13:56:21 CET 2022","Tue Nov 01 13:57:26 CET 2022","64884","","404 error page functionality testing.","","404 error page functionality testing.","#3 All elements are persisted on 404 error page.","#3 All elements are persisted on 404 error page.",""
"failed","Tue Nov 01 14:07:10 CET 2022","Tue Nov 01 14:07:35 CET 2022","24760","","Spin Zone functionality testing","","Spin Zone functionality testing","#10 Player can close game","#10 Player can close game",""
"passed","Tue Nov 01 13:57:10 CET 2022","Tue Nov 01 13:57:15 CET 2022","5140","","Home => Terms & Conditions","","Home => Terms & Conditions","#9 User can see Introduction section on terms and conditions page","#9 User can see Introduction section on terms and conditions page",""
"passed","Tue Nov 01 13:56:37 CET 2022","Tue Nov 01 13:56:47 CET 2022","10212","","Live Casino","","Live Casino","#12 Card is displayed, user hover a mouse on that card, the secondary CTA is INFO, user clicks/taps on CTA INFO, user go to info page of the game, user click on CTA JOIN then join modal appears.","#12 Card is displayed, user hover a mouse on that card, the secondary CTA is INFO, user clicks/taps on CTA INFO, user go to info page of the game, user click on CTA JOIN then join modal appears.",""
"passed","Tue Nov 01 13:30:34 CET 2022","Tue Nov 01 13:30:36 CET 2022","1374","","Expired Link Error","","Expired Link Error","#6 User can click on Recover Password button and see Reset your password window ","#6 User can click on Recover Password button and see Reset your password window ",""
"passed","Tue Nov 01 13:56:16 CET 2022","Tue Nov 01 13:56:19 CET 2022","2818","","Live Casino","","Live Casino","#01 User has not logged in, the user navigates to the live casino page and the live casino page is displayed.","#01 User has not logged in, the user navigates to the live casino page and the live casino page is displayed.",""
"passed","Tue Nov 01 13:58:13 CET 2022","Tue Nov 01 13:58:31 CET 2022","17880","","My Account > Gambling Controls > Loss Limits","","My Account > Gambling Controls > Loss Limits","#3 User can close the Loss Limits Edit modal","#3 User can close the Loss Limits Edit modal",""
"failed","Tue Nov 01 14:06:51 CET 2022","Tue Nov 01 14:07:54 CET 2022","63225","","Homepage","","Homepage","#9 Bonus amount is updated correctly in the dropdown details when bonus balance is adjusted","#9 Bonus amount is updated correctly in the dropdown details when bonus balance is adjusted",""
"passed","Tue Nov 01 13:58:37 CET 2022","Tue Nov 01 13:58:58 CET 2022","20409","","My Account > Gambling Controls > Deposit Limits","","My Account > Gambling Controls > Deposit Limits","#4 Player can cancel out of the Deposit Limits modal.","#4 Player can cancel out of the Deposit Limits modal.",""
"passed","Tue Nov 01 13:45:23 CET 2022","Tue Nov 01 13:45:33 CET 2022","9892","","Registration > Step 3","","Registration > Step 3","#15 Phone Number is a mandatory field.","#15 Phone Number is a mandatory field.",""
"passed","Tue Nov 01 13:42:18 CET 2022","Tue Nov 01 13:42:24 CET 2022","6216","","Registration > Step 2","","Registration > Step 2","#05 Date of Birth is a mandatory field.","#05 Date of Birth is a mandatory field.",""
"passed","Tue Nov 01 13:46:08 CET 2022","Tue Nov 01 13:46:20 CET 2022","11876","","Registration > Step 3","","Registration > Step 3","#19 User can select a Country Code from the dropdown menu.","#19 User can select a Country Code from the dropdown menu.",""
"passed","Tue Nov 01 13:42:02 CET 2022","Tue Nov 01 13:42:08 CET 2022","5962","","Registration > Step 1","","Registration > Step 1","#08 User can not enter an invaild email address (space in email).","#08 User can not enter an invaild email address (space in email).",""
"passed","Tue Nov 01 13:56:31 CET 2022","Tue Nov 01 13:56:37 CET 2022","6163","","Live Casino","","Live Casino","#11 Card is displayed, user hover a mouse on that card, the primary CTA is PLAY NOW, user clicks/taps on CTA PLAY NOW then the login modal appears.","#11 Card is displayed, user hover a mouse on that card, the primary CTA is PLAY NOW, user clicks/taps on CTA PLAY NOW then the login modal appears.",""
"passed","Tue Nov 01 13:57:24 CET 2022","Tue Nov 01 13:57:38 CET 2022","13954","","Deep Link -> Play Reminders","","Deep Link -> Play Reminders","#2 Deep link to play reminders open login when not logged in before play reminders","#2 Deep link to play reminders open login when not logged in before play reminders",""
"passed","Tue Nov 01 13:43:28 CET 2022","Tue Nov 01 13:43:32 CET 2022","4061","","Slots page","","Slots page","#1 User can navigates to the slots page and all elements are persisted on the page","#1 User can navigates to the slots page and all elements are persisted on the page",""
"passed","Tue Nov 01 13:43:29 CET 2022","Tue Nov 01 13:43:50 CET 2022","21270","","Registration > Step 4","","Registration > Step 4","#02 User can navigate back to the previous step.","#02 User can navigate back to the previous step.",""
"passed","Tue Nov 01 13:32:03 CET 2022","Tue Nov 01 13:32:24 CET 2022","21567","","Inbox functionality testing","","Inbox functionality testing","#10 Deleting a message from the inbox which is marked as new should decrease the unread message count badge","#10 Deleting a message from the inbox which is marked as new should decrease the unread message count badge",""
"failed","Tue Nov 01 14:04:35 CET 2022","Tue Nov 01 14:05:01 CET 2022","26316","","Spin Zone functionality testing","","Spin Zone functionality testing","#4 Player can see total withdrawable cash balance","#4 Player can see total withdrawable cash balance",""
"passed","Tue Nov 01 13:43:46 CET 2022","Tue Nov 01 13:43:52 CET 2022","5845","","Slots page","","Slots page","#6 User can hover mouse on game card and see all needed elements","#6 User can hover mouse on game card and see all needed elements",""
"failed","Tue Nov 01 13:59:14 CET 2022","Tue Nov 01 13:59:32 CET 2022","18558","","My Account > Gambling Controls > Account Closure > Self Exclusion","","My Account > Gambling Controls > Account Closure > Self Exclusion","#5 Player cannot continue with 'Self Exclusion' if a duration is not selected.","#5 Player cannot continue with 'Self Exclusion' if a duration is not selected.",""
"failed","Tue Nov 01 13:58:25 CET 2022","Tue Nov 01 13:58:56 CET 2022","30898","","My Account > Gambling Controls > Account Closure > Self Exclusion","","My Account > Gambling Controls > Account Closure > Self Exclusion","#2 Player can close the 'Self Exclusion' modal.","#2 Player can close the 'Self Exclusion' modal.",""
"failed","Tue Nov 01 13:56:44 CET 2022","Tue Nov 01 13:56:53 CET 2022","9077","","Home page => Responsible Gambling page","","Home page => Responsible Gambling page","#3 User can come to the Gamble Stop page from Responsible Gambling page","#3 User can come to the Gamble Stop page from Responsible Gambling page",""
"passed","Tue Nov 01 13:41:38 CET 2022","Tue Nov 01 13:41:48 CET 2022","9889","","Registration > Step 1","","Registration > Step 1","#05 User can select the 'Login' button on the 'Account already exists' drawer and is displayed the Login form.","#05 User can select the 'Login' button on the 'Account already exists' drawer and is displayed the Login form.",""
"passed","Tue Nov 01 13:36:08 CET 2022","Tue Nov 01 13:36:28 CET 2022","20744","","My Account > Gambling Controls > Play Reminders","","My Account > Gambling Controls > Play Reminders","#7 Player can successfully edit their 'Time Limit'.","#7 Player can successfully edit their 'Time Limit'.",""
"failed","Tue Nov 01 13:57:23 CET 2022","Tue Nov 01 13:57:28 CET 2022","4988","","Home => Terms & Conditions","","Home => Terms & Conditions","#12 User can see the Changes to the Terms section on terms and conditions page","#12 User can see the Changes to the Terms section on terms and conditions page",""
"passed","Tue Nov 01 13:44:18 CET 2022","Tue Nov 01 13:44:22 CET 2022","3180","","Slots page","","Slots page","#11 User click on category and go to category page","#11 User click on category and go to category page",""
"failed","Tue Nov 01 14:03:14 CET 2022","Tue Nov 01 14:03:42 CET 2022","27687","","Spin Zone functionality testing","","Spin Zone functionality testing","#1 Player can see Menu button in the top left of the screen","#1 Player can see Menu button in the top left of the screen",""
"failed","Tue Nov 01 13:59:03 CET 2022","Tue Nov 01 13:59:25 CET 2022","22679","","My Account -> Deposit","","My Account -> Deposit","#3 Check user is able to fill in details of required fields for card deposits","#3 Check user is able to fill in details of required fields for card deposits",""
"passed","Tue Nov 01 14:07:56 CET 2022","Tue Nov 01 14:07:58 CET 2022","1674","","Promotions functionality testing. Promotions functionality for unauthenticated user.","","Promotions functionality testing. Promotions functionality for unauthenticated user.","#35 Short terms and conditions of promotion card is displayed for not login user.","#35 Short terms and conditions of promotion card is displayed for not login user.",""
"passed","Tue Nov 01 13:57:38 CET 2022","Tue Nov 01 13:57:42 CET 2022","3779","","Home => Terms & Conditions","","Home => Terms & Conditions","#15 User can see the Deposits and Withdrawals section on terms and conditions page","#15 User can see the Deposits and Withdrawals section on terms and conditions page",""
"failed","Tue Nov 01 14:10:02 CET 2022","Tue Nov 01 14:11:05 CET 2022","63364","","Homepage","","Homepage","#12 Balance preview correctly displays £0.00 if user has no balance","#12 Balance preview correctly displays £0.00 if user has no balance",""
"passed","Tue Nov 01 13:42:38 CET 2022","Tue Nov 01 13:42:44 CET 2022","5974","","Registration > Step 1","","Registration > Step 1","#29 User can successfully enter email address with uppercase letters.","#29 User can successfully enter email address with uppercase letters.",""
"passed","Tue Nov 01 13:45:03 CET 2022","Tue Nov 01 13:45:19 CET 2022","16343","","Registration > Step 4","","Registration > Step 4","#12 User can click on confirm checkbox and click success registration button.","#12 User can click on confirm checkbox and click success registration button.",""
"passed","Tue Nov 01 13:44:04 CET 2022","Tue Nov 01 13:44:15 CET 2022","10495","","Registration > Step 4","","Registration > Step 4","#07 User can opt in to receive Phone marketing preferences.","#07 User can opt in to receive Phone marketing preferences.",""
"passed","Tue Nov 01 13:57:15 CET 2022","Tue Nov 01 13:57:19 CET 2022","4171","","Home => Terms & Conditions","","Home => Terms & Conditions","#10 User can see the Terms and Conditions section on terms and conditions page","#10 User can see the Terms and Conditions section on terms and conditions page",""
"skipped","Tue Nov 01 13:57:05 CET 2022","Tue Nov 01 13:57:05 CET 2022","0","","Live Casino","","Live Casino","#17 User has logged in, card is displayed, user hover a mouse on that card, the third CTA is DEMO, user clicks/taps on CTA DEMO then user go to the demo game.","#17 User has logged in, card is displayed, user hover a mouse on that card, the third CTA is DEMO, user clicks/taps on CTA DEMO then user go to the demo game.",""
"failed","Tue Nov 01 14:05:27 CET 2022","Tue Nov 01 14:05:53 CET 2022","25740","","UnsubscribePage","","UnsubscribePage","#6 User can click on ‘Re-subscribe’ button and success window will be displayed with the correct content","#6 User can click on ‘Re-subscribe’ button and success window will be displayed with the correct content",""
"passed","Tue Nov 01 13:30:33 CET 2022","Tue Nov 01 13:30:34 CET 2022","1443","","Expired Link Error","","Expired Link Error","#5 User can click on Login button and see Login page. ","#5 User can click on Login button and see Login page. ",""
"passed","Tue Nov 01 14:08:43 CET 2022","Tue Nov 01 14:08:44 CET 2022","1395","","Promotions functionality testing. Bonus details testing.","","Promotions functionality testing. Bonus details testing.","#48 Bonus balance category is not displayed for not logged in user.","#48 Bonus balance category is not displayed for not logged in user.",""
"passed","Tue Nov 01 13:32:24 CET 2022","Tue Nov 01 13:32:36 CET 2022","11622","","Inbox functionality testing","","Inbox functionality testing","#11 Player can delete a message using the message options, removing it from the list","#11 Player can delete a message using the message options, removing it from the list",""
"passed","Tue Nov 01 13:56:23 CET 2022","Tue Nov 01 13:56:26 CET 2022","2856","","Live Casino","","Live Casino","#07 Game image will be displayed.","#07 Game image will be displayed.",""
"failed","Tue Nov 01 13:41:14 CET 2022","Tue Nov 01 13:42:21 CET 2022","66832","","My Account > Settings > Change Password","","My Account > Settings > Change Password","#3 Current Password is a mandatory field.","#3 Current Password is a mandatory field.",""
"passed","Tue Nov 01 13:46:15 CET 2022","Tue Nov 01 13:46:24 CET 2022","9923","","Registration > Step 4","","Registration > Step 4","#09 User can select multiple marketing preferences.","#09 User can select multiple marketing preferences.",""
"failed","Tue Nov 01 14:03:42 CET 2022","Tue Nov 01 14:04:09 CET 2022","27328","","Spin Zone functionality testing","","Spin Zone functionality testing","#2 Player can see Resume Game button in the top left of the screen","#2 Player can see Resume Game button in the top left of the screen",""
"passed","Tue Nov 01 14:07:15 CET 2022","Tue Nov 01 14:07:30 CET 2022","14396","","Promotions functionality testing. Promotions functionality for authenticated user. Particular promotions.","","Promotions functionality testing. Promotions functionality for authenticated user. Particular promotions.","#24 User can close deposit bonus modal, remove display bonus modal and return to the launch screen.","#24 User can close deposit bonus modal, remove display bonus modal and return to the launch screen.",""
"passed","Tue Nov 01 13:43:20 CET 2022","Tue Nov 01 13:43:30 CET 2022","9351","","Registration > Step 3","","Registration > Step 3","#03 Player can select the Manual Input button and is displayed the address inputs.","#03 Player can select the Manual Input button and is displayed the address inputs.",""
"passed","Tue Nov 01 13:42:20 CET 2022","Tue Nov 01 13:42:25 CET 2022","4907","","Registration > Step 1","","Registration > Step 1","#13 Password is a mandatory field.","#13 Password is a mandatory field.",""
"passed","Tue Nov 01 13:57:26 CET 2022","Tue Nov 01 13:57:31 CET 2022","4835","","404 error page functionality testing.","","404 error page functionality testing.","#4 Player can click ""Logo"" button and after that it will redirect to Home page.","#4 Player can click ""Logo"" button and after that it will redirect to Home page.",""
"passed","Tue Nov 01 14:01:38 CET 2022","Tue Nov 01 14:01:57 CET 2022","18653","","My Account > Gambling Controls > Loss Limits","","My Account > Gambling Controls > Loss Limits","#14 User cannot set a Loss Limit higher than the maximum amount. ","#14 User cannot set a Loss Limit higher than the maximum amount. ",""
"passed","Tue Nov 01 13:32:36 CET 2022","Tue Nov 01 13:32:47 CET 2022","10974","","Inbox functionality testing","","Inbox functionality testing","#12 Player with less than 15 messages should not be able to view more","#12 Player with less than 15 messages should not be able to view more",""
"failed","Tue Nov 01 14:03:17 CET 2022","Tue Nov 01 14:03:35 CET 2022","18542","","My Account > Gambling Controls > Account Closure > Take A Break","","My Account > Gambling Controls > Account Closure > Take A Break","#14 Player can press 'BACK' for confirmating modal after chosen for 24 hours 'Take A Break' and should return to previous step.","#14 Player can press 'BACK' for confirmating modal after chosen for 24 hours 'Take A Break' and should return to previous step.",""
"failed","Tue Nov 01 14:02:11 CET 2022","Tue Nov 01 14:02:33 CET 2022","21889","","My Account > Gambling Controls > Account Closure > Take A Break","","My Account > Gambling Controls > Account Closure > Take A Break","#11 Player can continue with chosen 4 weeks option to 'Take A Break' and confirming modal should display.","#11 Player can continue with chosen 4 weeks option to 'Take A Break' and confirming modal should display.",""
"passed","Tue Nov 01 13:57:44 CET 2022","Tue Nov 01 13:57:59 CET 2022","14775","","My Account > Gambling Controls > Loss Limits","","My Account > Gambling Controls > Loss Limits","#1 User can view their Loss limits ","#1 User can view their Loss limits ",""
"passed","Tue Nov 01 13:41:08 CET 2022","Tue Nov 01 13:41:15 CET 2022","6991","","Recover Password","","Recover Password","#04 Player can select the 'Cancel and Back To Login' link and is displayed the login section.","#04 Player can select the 'Cancel and Back To Login' link and is displayed the login section.",""
"failed","Tue Nov 01 13:47:46 CET 2022","Tue Nov 01 13:48:49 CET 2022","63114","","My Account > Settings > Change Password","","My Account > Settings > Change Password","#9 New password must contain a combination of upper and lower case letters (all upper case).","#9 New password must contain a combination of upper and lower case letters (all upper case).",""
